Entity,Code,Year,Annual sea surface temperature anomalies,Annual sea surface temperature anomalies (lower bound),Annual sea surface temperature anomalies (upper bound)
Southern Hemisphere,,1891,-0.04917939,-0.092469186,-0.005078009
Southern Hemisphere,,1892,-0.11139256,-0.15522377,-0.06915937
Southern Hemisphere,,1893,-0.078497805,-0.12545083,-0.034430433
Southern Hemisphere,,1894,-0.10490745,-0.15310748,-0.058406137
Southern Hemisphere,,1895,-0.08462708,-0.13694526,-0.034355715
Southern Hemisphere,,1896,0.09509292,0.04216822,0.1469617
Southern Hemisphere,,1897,0.024819618,-0.027875328,0.07802107
Southern Hemisphere,,1898,-0.25152332,-0.3078655,-0.19651634
Southern Hemisphere,,1899,-0.06446653,-0.12259579,-0.009827528
Southern Hemisphere,,1900,-0.051022902,-0.1097048,0.004116646
Southern Hemisphere,,1901,-0.14938332,-0.20887709,-0.090308554
Southern Hemisphere,,1902,-0.19185202,-0.25492093,-0.13138026
Southern Hemisphere,,1903,-0.3261578,-0.3906514,-0.26270467
Southern Hemisphere,,1904,-0.31241283,-0.3783943,-0.24577333
Southern Hemisphere,,1905,-0.1533151,-0.22087687,-0.09041033
Southern Hemisphere,,1906,-0.113157734,-0.18373367,-0.04529387
Southern Hemisphere,,1907,-0.17961407,-0.22973055,-0.109233536
Southern Hemisphere,,1908,-0.30466947,-0.3454519,-0.23629777
Southern Hemisphere,,1909,-0.3352939,-0.37083152,-0.27058578
Southern Hemisphere,,1910,-0.30977264,-0.35261685,-0.2559695
Southern Hemisphere,,1911,-0.3903183,-0.43910703,-0.33797005
Southern Hemisphere,,1912,-0.15999384,-0.21157986,-0.10561278
Southern Hemisphere,,1913,-0.11613453,-0.17134385,-0.06279698
Southern Hemisphere,,1914,-0.018509611,-0.074399866,0.046827715
Southern Hemisphere,,1915,0.029868519,-0.028073497,0.10027409
Southern Hemisphere,,1916,-0.0947834,-0.162929,-0.02278395
Southern Hemisphere,,1917,-0.13793243,-0.2036537,-0.05975592
Southern Hemisphere,,1918,-0.012125271,-0.08640197,0.07412044
Southern Hemisphere,,1919,-0.024192115,-0.09330892,0.06698622
Southern Hemisphere,,1920,0.08845361,0.021572301,0.17640448
Southern Hemisphere,,1921,0.0091073,-0.05639313,0.10181118
Southern Hemisphere,,1922,-0.08566509,-0.1466927,0.0027848135
Southern Hemisphere,,1923,-0.029048251,-0.09495785,0.061499912
Southern Hemisphere,,1924,-0.07449965,-0.13934028,0.024052046
Southern Hemisphere,,1925,-0.012586884,-0.077133,0.07586575
Southern Hemisphere,,1926,0.052557357,-0.0154438615,0.14268161
Southern Hemisphere,,1927,-0.03204422,-0.09782384,0.065725796
Southern Hemisphere,,1928,-0.03070956,-0.09787029,0.067263454
Southern Hemisphere,,1929,-0.11369253,-0.18480545,-0.012227406
Southern Hemisphere,,1930,0.0027105908,-0.06859327,0.11130371
Southern Hemisphere,,1931,0.10253377,0.031621873,0.20411055
Southern Hemisphere,,1932,0.056904774,-0.011065599,0.16111165
Southern Hemisphere,,1933,-0.06351135,-0.12878199,0.04062071
Southern Hemisphere,,1934,0.06077761,-0.0060374513,0.15646447
Southern Hemisphere,,1935,0.01809483,-0.046956886,0.12540568
Southern Hemisphere,,1936,0.013359373,-0.051282976,0.10644655
Southern Hemisphere,,1937,0.15281636,0.08707785,0.24887694
Southern Hemisphere,,1938,0.13655767,0.076620735,0.23359218
Southern Hemisphere,,1939,0.17802244,0.1096863,0.27872655
Southern Hemisphere,,1940,0.3265822,0.24632846,0.42258835
Southern Hemisphere,,1941,0.27205428,0.04852776,0.49048686
Southern Hemisphere,,1942,0.220667,-0.010758243,0.43947414
Southern Hemisphere,,1943,0.26698253,0.034141414,0.486572
Southern Hemisphere,,1944,0.436201,0.20141026,0.6574994
Southern Hemisphere,,1945,0.38617784,0.15189262,0.6076397
Southern Hemisphere,,1946,0.07375596,-0.093444146,0.20235977
Southern Hemisphere,,1947,0.06588284,-0.10289641,0.20391867
Southern Hemisphere,,1948,0.053052194,-0.10934487,0.20476976
Southern Hemisphere,,1949,0.11310689,-0.034115378,0.25687745
Southern Hemisphere,,1950,0.05930498,-0.06930539,0.20522214
Southern Hemisphere,,1951,0.084586844,-0.023773178,0.2229004
Southern Hemisphere,,1952,0.29257905,0.20115738,0.42936593
Southern Hemisphere,,1953,0.31209192,0.22500029,0.43762517
Southern Hemisphere,,1954,0.09465812,0.0056877024,0.22010736
Southern Hemisphere,,1955,0.0032630453,-0.07969446,0.11088092
Southern Hemisphere,,1956,0.07212132,-0.008273899,0.16712807
